City,2022-09-05 0:00:00,2022-09-06 0:00:00,2022-09-07 0:00:00,2022-09-08 0:00:00,2022-09-09 0:00:00,2022-09-10 0:00:00,2022-09-11 0:00:00,2022-09-12 0:00:00,2022-09-13 0:00:00,2022-09-14 0:00:00,2022-09-15 0:00:00,2022-09-16 0:00:00,2022-09-17 0:00:00,2022-09-18 0:00:00,2022-09-19 0:00:00,2022-09-20 0:00:00,2022-09-21 0:00:00,2022-09-22 0:00:00,2022-09-23 0:00:00,2022-09-24 0:00:00,2022-09-25 0:00:00,2022-09-26 0:00:00,2022-09-27 0:00:00,2022-09-28 0:00:00,2022-09-29 0:00:00,2022-09-30 0:00:00,2022-10-01 0:00:00,2022-10-02 0:00:00,2022-10-03 0:00:00,2022-10-04 0:00:00
Istanbul,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,1,0
Bursa,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adana,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Izmir,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ankara,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antakya,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaziantep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mersin,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kayseri,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kırşehir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sanliurfa,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0